source,text,sentiment,confidence
news,Tesla Crash Into Home Kills Woman - Driver-Assist At Fault? Elon Musk Refutes Claim,negative,0.672
news,OPEN CEO Takes $1 Salary As $741 Million Tesla-Style Pay Package Bets On A Housing Market Turnaround,negative,0.5651
news,"India's Tata Electronics hit by cyber breach claiming to expose Apple, Tesla trade secrets",negative,0.9477
news,"Why is Elon Musk calling Ro Khanna 'Ro the Robber', and how the US congressman hit back",neutral,0.6228
news,"Apple cyber team probes Tata Electronics data breach incident, may recommend security changes",neutral,0.8753
news,"NatPower, Tesla reach deal on first phase of $5 billion battery storage plan",positive,0.8572
news,Why Tata Electronics' cyber breach could be a concern for Apple and Tesla,negative,0.5104
news,Tata Electronics Confirms Cyber Breach; Apple & Tesla Sensitive Trade Data Allegedly Exposed,negative,0.8793
news,Elon Musk And Tesla AI Chief Fire Back At Reports Linking FSD To Fatal Texas Crash,negative,0.9177
youtube_video,Tödlicher Unfall: Tesla Autopilot unter Verdacht – aber die Daten erzählen etwas anderes,neutral,0.8535
youtube_video,"Tesla Optimus, Model Y L, and MegaPod Details You Need to Know",neutral,0.9408
youtube_video,This Tesla Crash Just Changed the FSD Debate,neutral,0.6295
youtube_video,TESLA DETECTA ESPÍRITOS? O TESTE MAIS ASSUSTADOR DO TCAR!,neutral,0.8526
youtube_video,Fatal crash involving Tesla allegedly using driver assist now under federal investigation,negative,0.6662
youtube_video,Tesla Just Quietly Won the Quarter - Something Big Is Happening - Model Y Review You Didn&#39;t Expect!,neutral,0.8408
youtube_video,ESSAI TESLA MODEL 3 PROPULSION 2026 : la référence au juste prix,neutral,0.9237
youtube_video,Tesla Autopilot Takes the Hit to Avoid Pedestrian,neutral,0.7923
youtube_video,"Tesla Model Y L Specs, Range &amp; Pricing Leaked for the United States",neutral,0.9197
youtube_video,Why Is Tesla Stock DROPPING Today?,negative,0.9062
youtube_comment,"In Wirklichkeit war es noch viel schlimmer, was der Tesla gemacht hat. https://youtu.be/CaV8hmrffqw",neutral,0.9264
youtube_comment,"Wie wäre es dann mal mit dieser Schlagzeile: ""Jährlich fast 3000 Tote durch Autounfälle ohne TESLA-Beteiligung""",neutral,0.7129
youtube_comment,Wie komt tesla so snell an die daten? Hallo data shutz .. 😂 oder kann tesla jede schrit folgn wie VW da mals 😂,neutral,0.8965
youtube_comment,"die Schwurbel-News-Leute wissen genau was sie Anrichten,.. in der EU ja gerade alles auf krankhafter Maximal-FSD-Beobachtung,..",neutral,0.8878
youtube_comment,Macht doch ein gegen-fake-video . . . Wurde der Fahrer von den rückständigen deutschen Autoherstellern bezahlt ?,neutral,0.8979
youtube_comment,"Tesla kann mit Klagen gegen Fake-News bestimmt viel Geld verdienen,..",neutral,0.9052
youtube_comment,"Also beim Autopilot wäre es meiner Erfahrung möglich wenn er falsche Daten über die Google Map bekommt so wie bei mir wo er die Geschwindigkeit nach wie vor  sobald ich durch ein Bestimmtes Dorf in Niederösterreich fahre der AP die Geschwindigkeit auf 100kmh beschleunigen würde wenn ich in nicht deaktivieren würde,  deshalb deaktiviere ich immer den AP in diesem Dorf oder reduziere die max  Geschw. manuel  auf 50kmH . Leider noch immer falsche Daten in der Navigation.",neutral,0.8688
youtube_comment,Danke für die Veröffentlichung und Aufklärung. Das die deutsche Presse unrichtige  Informationen verbreitet gehört zur Lobby Arbeit der Autoindustrie. Es ist unfassbar.,neutral,0.9134
youtube_comment,"Ich glaube auch nicht, dass die berichten wenn neue Erkenntnisse auftauchen.",neutral,0.9062
youtube_comment,"Übel mit der unschuldigen Frau, aber krass wie wenig dem Fahrer passiert ist. Unfassbar wie sicher diese Autos sind... Aber der wird sich jetzt wegen Totschlags zu verantworten haben und das weiß er, drum versucht er es ja auch dem Auto in die Schuhe zu schieben",neutral,0.8636
youtube_comment,Besser über statt unter Belichtet,neutral,0.9025
youtube_comment,"Der Mensch soll das System kontrollieren, das klang die ganzen Jahre natürlich ganz anders. Elon bekommt nur ein Mini FSD hin, der Ruf aufgrund der unzähligen Probleme u d Elons Weissagungen ist so ramponiert, dass man natürlich sofort mutmaßt, dass Tesla schuld ist. So bleibt nur, dass Tesla-Fahrer vermehrt zum Suizid neigen?",neutral,0.7982
youtube_comment,wenn es gegen Elon Musk geht sind sich die Links grünen Schweine alle einig,neutral,0.9033
youtube_comment,"wäre der Unfall am SpaceX IPO passiert, wär es zum komplett Disaster gekommen",neutral,0.8863
youtube_comment,Man fährt keine 120 an Haus vorbei war es auf der Autobahn?,neutral,0.8761
youtube_comment,Remember Terminator 2 ? 😅,neutral,0.9122
youtube_comment,"Aber bitte alle Tesla fanboyś seid doch ehrlich wenn ich nur  mit  Tempomat fahre bekomme ich schon das blanke gruseln. Das Fahrzeug bremst einfach so,wenn jemand die Autobahn Auffahrt hoch kommt bremst das Auto voll. In einer Stadt wo rechts  Autos parken ,hält das Auto einfach an. Dann stellt der Tempomat einfach die Geschwindigkeit herunter auf 60 und bremst ( wer das nicht glaubt kann es gerne testen ,a95 Höhe Abfahrt schäftlarn. Passiert bei 2 unterschiedlichen Model 3). Ich kann mir nicht vorstellen das dieses System alleine fahren kann.",neutral,0.8785
youtube_comment,Vielleicht hat ja ein Schuh das Gaspedal blockiert,neutral,0.8859
youtube_comment,"Ja, das ist sehr wahrscheinlich der Hauptgrund für den heutigen Kursrückgang bei Tesla.
Was passiert ist:
	•	Am Freitagabend (19./20. Juni 2026) ist in Katy, Texas (bei Houston) ein Tesla Model 3 mit hoher Geschwindigkeit von der Straße abgekommen und frontal in ein Wohnhaus gekracht. Eine 76-jährige Frau im Haus wurde getötet.33
	•	Der Fahrer hat den Behörden gegenüber angegeben, dass er ein „automated driving assistance system“ (also Autopilot oder ähnlich) genutzt habe.0
	•	Die Nachricht hat am Wochenende und heute starke Medienpräsenz bekommen, inklusive Berichten über eine laufende NHTSA-Untersuchung (US-Verkehrsbehörde).44
Auswirkungen auf den Aktienkurs:
	•	Tesla (TSLA) ist heute um ca. 5–6 % gefallen (von ~405 $ auf ~380–381 $).45
	•	Solche Unfälle mit Autopilot/FSD in den Schlagzeilen wecken immer wieder alte Bedenken zur Sicherheit der Technologie, regulatorische Risiken und Haftungsfragen – auch wenn Tesla betont, dass der Fahrer offenbar stark beschleunigt und das System manuell übersteuert habe (laut Tesla-Daten bis 73 mph in einem Wohngebiet).36
SpaceX-Kontext:
SpaceX ist mittlerweile börsennotiert (Ticker z. B. SPCX) und hat in letzter Zeit starke Kursgewinne verzeichnet (Valuation im Bereich 2+ Billionen $ nach IPO). Der leichte Anstieg heute passt zu einer Gegenbewegung oder allgemeiner Tech-/Musk-Sentiment-Dynamik, ist aber unabhängig vom Tesla-Unfall.15
Zusammengefasst: Ja, der Unfall mit der Autopilot-Erwähnung in den Überschriften ist der klare Auslöser für den heutigen Tesla-Kursrückgang. Solche Ereignisse führen regelmäßig zu kurzfristigem Verkaufsdruck, auch wenn die langfristige Entwicklung von FSD/Robotaxi für Tesla entscheidend bleibt. Tesla selbst wehrt sich gegen die Narrative und verweist auf die Fahrer-Daten. Die Untersuchung läuft noch.",neutral,0.8642
youtube_comment,"Willst du auch mal darüber berichten, das Tesla eine Beschönigung der Unfallstatistik vorgeworfen wird...?",neutral,0.8873
youtube_comment,"Great discussion of what the companies are all doing - product, services, buildouts, etc. versus some videos that are all about stock price speculations which I personally don't care about as no one knows for sure and the stock price will follow the product and services that the companies offer.",neutral,0.9029
youtube_comment,GREAT analysis from Brian today... very informed. A+,positive,0.8371
youtube_comment,"Brian's point re: Optimus taking real time photos and traceable work completion is huge.

We see a direct correlation with the tragic crash last week. The driver lied about FSD and Tesla responded in real time. 

Tesla will ""have the receipts"" and squash complaints/lawsuits in a way that simply can't be done with human employees.",neutral,0.8526
youtube_comment,"Yes       ,  so i  brought Scottish Mortgage Investment Trust plc (SMT) as they are heavily invested in Space  X  so will benefit greatly from the  ipo",positive,0.8633
youtube_comment,Randy another great call for tesla,neutral,0.6429
youtube_comment,Wallpapered in QCodes. Excellent.,positive,0.6468
