source,text,sentiment,confidence
news,"Pond near Oracle, OpenAI data center construction site recovering after level drops",negative,0.6986
news,How a zeroed oracle signature unlocked $9M from Hedera DeFi lender Bonzo Lend,neutral,0.7661
news,Oracle Stock Flashes Oversold Signal as It Nears 52-Week Lows,negative,0.9615
news,"Oracle: Perfectly Positioned For Next-Generation, AI-Focused Workloads",positive,0.6472
news,"Four States in America are set to disrupt billionaire Larry Ellison and his son, David Ellison's plan to create Hollywood colossus by merging ...",negative,0.8743
news,"Dividend Harvesting Portfolio Week 280: $28,000 Allocated, $3,144.21 InProjected Dividends",neutral,0.9264
news,Meet Courteney Landis on Married at First Sight USA season 20,neutral,0.9254
news,Bonzo Lend loses $9M after oracle flaw inflates SAUCE price,negative,0.9599
news,"4 arrested, 3 cited after brawl following Giants vs. Rockies game at Oracle Park",negative,0.835
news,Bonzo Lend's total value locked plunges 77% as $9 million oracle exploit rattles Hedera,negative,0.968
youtube_video,Oracle’s Nearly 50% Crash Since June 1 Plunges Larry Ellison To No. 8 In Billionaire Ranks,negative,0.9259
youtube_video,Oracle&#39;s Cloud Business Has an OpenAI Problem – What Happened?,negative,0.8628
youtube_video,Oracle Welcome Kit #shorts #viralshorts #motivation #welcomekit #oracle #banglore,neutral,0.9256
youtube_video,What does Oracle actually do?,neutral,0.9236
youtube_video,ORACLE STOCK DROPS TO A 1 YEAR LOW: IS THIS STOCK A BUY?,negative,0.8326
youtube_video,"Oracle Free Certification 2025 | AI, Cloud &amp; Data Worth ₹20,000+ 🚀",neutral,0.7902
youtube_video,"FREE Oracle Certification | AI, Data, Multicloud 🚀",neutral,0.939
youtube_video,Oracle is everywhere and in everything #carterpcs #tech #techtok #oracle,neutral,0.9415
youtube_video,Oracle Fusion Application | Oracle Cloud | Oracle Cloud ERP | Oracle ERP | Oracle ERP Overview,neutral,0.9181
youtube_video,Larry Ellison Keynote on Oracle&#39;s Vision and Strategy: Oracle AI World 2025,neutral,0.9251
youtube_comment,"I'd be happier if he was behind bars or in a re education camp.   Guy is classic 2020's American Techno Oligarch.   I pray they do not get what they want, which isn't robust democracy and a more equitable society.",negative,0.4908
youtube_comment,The Warner deal has $80 billion a debt and it’s not gonna be able to pay it,negative,0.8502
youtube_comment,"That's a shame, I hope the trend continues.",positive,0.8859
youtube_comment,The people have the power of the purse . People will stop investing and supporting these gamblers .,negative,0.4952
youtube_comment,"I sold mine when this IDF donator bought our media.
Cant FORCE me to buy Israeli....
Sorry Charlie.😊",neutral,0.8689
youtube_comment,Israel first,neutral,0.9068
youtube_comment,"I used to admire rich, powerful people. Not anymore. I dont know what the hell I was thinking. These guys are the worst of the worst.",negative,0.6814
youtube_comment,"After the midterms, we can bust up their propaganda machinery.",neutral,0.772
youtube_comment,"OMG...That poor man!   
Who gaf?",neutral,0.6089
youtube_comment,His control of mass media will harm the price of all of his investments.,negative,0.81
youtube_comment,What is crazy how oracle is being used by so many companies and colleges 💀💀💀,neutral,0.7821
youtube_comment,Couldn't happen to a.more deserving person.,neutral,0.7771
youtube_comment,"Ahhh, poor Larry.  He won't be able to afford to change his Depends as often.",neutral,0.7067
youtube_comment,"Fake stocks keep crashing till, he gives HAWAII BACK TO THE PEOPLE..
SOLD WHO CARES..
GIVE, WE ARE NOT FOR SALE EITHER!!",neutral,0.7451
youtube_comment,Something tells me he will be just fine 😂,neutral,0.4861
youtube_comment,"Karma! Remember the sad murder case of young and highly promising Suchir Balaji, a staff engineer at OpenAI? He was murdered because he had a scheduled hearing against OpenAI with the NYT after he left OpenAI. SFPD is still trying hard to cover it as a suicide!",negative,0.5819
youtube_comment,This is the beginning of the great fall,neutral,0.9062
youtube_comment,"SI is a Bubble gonna CRASH SOON 
THE BUBBLE IS GONNA BURST

Chinese AI Companies are offering some AI for free while others are charging MUCH LESS THAN USA COMPANIES
That's good hopefully AI will crash SOON",neutral,0.8464
youtube_comment,"I tried to use Oracle Cloud for a small app I built for a non-profit and they could not figure out how to accepy my payment.. such a joke of a company, they make it hard to accept a customer's payments/",negative,0.7302
youtube_comment,"Open AI is a Suicidal Project for all Humanity.. Considering the resources it consume for data storage and the water resources it consume for maintaining data centers. absolute madness.. All its purpose is to make the workforce obsolete.  If the ruling class succeed with AI, What they do with job less people. They must be planned to eliminate them as they just cant control the jobless people. Normal people should understand that work culture with financial benefits created to control people. Now when they removing work from the common people, is that means they prepared to kill the people.? strange people ruling this world. If not how can they utilize water for data centers when there is already scarcity for the water all over the world.",neutral,0.5094
youtube_comment,"Order Mx master 3s, mx keys mini and Jabra evolve buds 2 from Oracle Procurement.

Thank me later😊",neutral,0.7733
youtube_comment,"bhai hoodies , tshirt wagairah bhee milta hai kya",neutral,0.9068
youtube_comment,From which college,neutral,0.9123
youtube_comment,Can you guide me how to get into this company,neutral,0.8516
youtube_comment,"Hello, I'm CA from Korea Office!",neutral,0.8678
youtube_comment,Bro what's the roadmap for get into this company,neutral,0.8916
youtube_comment,OCI?,neutral,0.8835
youtube_comment,What role?,neutral,0.8776
youtube_comment,i thought a oracle were those ladies who tell me im gonna die tomorrow,neutral,0.7763
youtube_comment,"LE would like nothing but for his movements to be ellusive and drive a legendary narrative of mystery. Meanwhile, AI driven survalliance will increase. You really think that each and every country has a say when they go to war with another??? (Pausing while smiling) he who controls the information, controls everything.",neutral,0.9003
youtube_comment,I worked there for 16 months and still don’t know what they do.,neutral,0.803
youtube_comment,They sell database software to companies that don’t know better.,neutral,0.8609
youtube_comment,Srrrr you 😭☹️🥀,neutral,0.8955
youtube_comment,They buy up news agencies like CNN and CBS and turn them into right wing red meat dispensaries of hate and fear.,neutral,0.7927
youtube_comment,Something tells me Larry dude have been to the Epstein island once or twice.,neutral,0.873
youtube_comment,They also own the rights to Javascript!,neutral,0.9454
youtube_comment,This is hilarious ❤❤❤❤,neutral,0.4878
youtube_comment,😂😂,neutral,0.9052
youtube_comment,still didnt get whay they do,neutral,0.86
youtube_comment,These guys also make a gorgeous high end turntable record player. By far the highest quality and most interesting product they make.,neutral,0.7927
youtube_comment,So oracle is getting replaced by AI of any given company you’re telling me?,negative,0.5269
youtube_comment,I work in an Oracle database every day. My desk mate and I always say how much we want to punch Larry Ellison in the face,neutral,0.8542
youtube_comment,been asking myself that question ever since i was a teenager fascinated by computers,neutral,0.9155
youtube_comment,Java and other things 😊,neutral,0.9271
youtube_comment,it's held up by a 1 person pump. Stock went from 240 to 320 in one day. nearly a 50% surge in one day... funny thing is it has only gone downhill from there in sept 2025,positive,0.6411
youtube_comment,Ah yes the giant enemy crab of the tech industry.,neutral,0.7172
youtube_comment,Good Work Sirrrrr you got a new follower today with thissss beautifull funny video,neutral,0.7652
youtube_comment,7:36,neutral,0.8694
youtube_comment,Going down to 115-100 in the coming months due to debt concerns that’s the real buy,negative,0.9559
youtube_comment,"I bought weekly $145 calls this morning.. ouch!! I’m in a lot of shares at $155, not as worried about those. This company is going to be fine.. when wall st is panicking you buy!",neutral,0.627
youtube_comment,Oracle,neutral,0.8863
youtube_comment,In one month me complete ho jayga,neutral,0.8408
youtube_comment,oracle,neutral,0.8863
youtube_comment,oracal,neutral,0.9308
