original_title,cleaned_title,polarity,sentiment
Who is Elon Musk and what is his net worth?,who is elon musk and what is his net worth,0.15,POSITIVE
Exams watchdog warns of rise in high-tech cheating,exams watchdog warns of rise in hightech cheating,0.0,POSITIVE
"Phone signal on trains not good enough most of the time, research says",phone signal on trains not good enough most of the time research says,0.05000000000000001,POSITIVE
"Lloyds, Halifax and Bank of Scotland back after online banking outage",lloyds halifax and bank of scotland back after online banking outage,0.0,NEGATIVE
Meta workers can opt out of being tracked at work - but only for half an hour at a time,meta workers can opt out of being tracked at work but only for half an hour at a time,-0.08333333333333333,NEGATIVE
Publishers in UK can opt out of Google AI search results,publishers in uk can opt out of google ai search results,0.0,NEUTRAL
Do you find yourself aimlessly scrolling? You're not alone,do you find yourself aimlessly scrolling youre not alone,0.0,NEUTRAL
Microsoft testing wearable AI gadget aimed at office workers,microsoft testing wearable ai gadget aimed at office workers,0.0,NEUTRAL
"Microsoft says new quantum chip 1,000 times more reliable than predecessor",microsoft says new quantum chip 1000 times more reliable than predecessor,0.3181818181818182,POSITIVE
Instagram AI chatbot tricked by hackers to give access to others' accounts,instagram ai chatbot tricked by hackers to give access to others accounts,0.0,NEUTRAL
How 'confused' AI rollout hurts firms and baffles staff,how confused ai rollout hurts firms and baffles staff,-0.4,NEGATIVE
"OpenAI let ChatGPT aid and abet mass shooters, Florida lawsuit claims",openai let chatgpt aid and abet mass shooters florida lawsuit claims,0.0,NEGATIVE
UK banks blocked from cyber AI tool Mythos get offer from rival OpenAI,uk banks blocked from cyber ai tool mythos get offer from rival openai,0.0,NEGATIVE
Tech Life,tech life,0.0,NEUTRAL
Tech Now,tech now,0.0,NEUTRAL
Google Drive updates document scanner with multi-page AI feature,google drive updates document scanner with multipage ai feature,0.0,NEUTRAL
"Google CEO Sundar Pichai to entry-level graduates: Some people are painting a very troubled scenario due to AI, and I don;t agree with it because ...",google ceo sundar pichai to entrylevel graduates some people are painting a very troubled scenario due to ai and i dont agree with it because,-0.3875,NEGATIVE
"What to expect from Apple’s AI, Siri and iOS 27 launch at WWDC",what to expect from apples ai siri and ios 27 launch at wwdc,0.0,POSITIVE
Will this country slip into AI control? Digital minister’s warning raises concerns,will this country slip into ai control digital ministers warning raises concerns,0.0,NEGATIVE
"AI cyber risks, China concerns dominate US hearing",ai cyber risks china concerns dominate us hearing,0.0,NEGATIVE
White House AI adviser to leave position as Trump weighs stakes in AI firms,white house ai adviser to leave position as trump weighs stakes in ai firms,0.0,NEUTRAL
"HC cautions Judicial Officers against blind reliance on AI, unverified citations",hc cautions judicial officers against blind reliance on ai unverified citations,-0.5,POSITIVE
Who Is Sriram Krishnan? Donald Trump’s AI Advisor To Quit Key White House Post,who is sriram krishnan donald trumps ai advisor to quit key white house post,0.0,NEUTRAL
"'This is herculean:' How Alberta, B.C. Mounties are using AI to write reports",this is herculean how alberta bc mounties are using ai to write reports,0.0,NEUTRAL
Researchers develop world's first AI for objective pain assessment,researchers develop worlds first ai for objective pain assessment,0.125,POSITIVE
OpenAI's ChatGPT Set for Supercharged Revamp,openais chatgpt set for supercharged revamp,0.0,NEUTRAL
Why isn’t Durham University taking AI cheating seriously?,why isnt durham university taking ai cheating seriously,-0.3333333333333333,NEGATIVE
"OpenAI plans ChatGPT 'superapp' overhaul ahead of listing, FT reports",openai plans chatgpt superapp overhaul ahead of listing ft reports,0.0,NEUTRAL
Retire at 40 or keep working? ChatGPT's take on the FIRE movement in India,retire at 40 or keep working chatgpts take on the fire movement in india,0.0,NEUTRAL
"'I can't give you the answer, but...': Student asks ChatGPT for help during exam, here's what happens next",i cant give you the answer but student asks chatgpt for help during exam heres what happens next,0.0,NEUTRAL
OpenAI plans ChatGPT 'superapp' overhaul ahead of listing: Report,openai plans chatgpt superapp overhaul ahead of listing report,0.0,NEUTRAL
OpenAI's ChatGPT: The Evolution into a Superapp,openais chatgpt the evolution into a superapp,0.0,NEUTRAL
Why OpenAI is disabling ChatGPT web access to fight prompt injection attacks,why openai is disabling chatgpt web access to fight prompt injection attacks,0.0,NEUTRAL
"Trump's AI wealth plan: How Americans could gain stakes in OpenAI, Anthropic, other trillion-dollar tech companies",trumps ai wealth plan how americans could gain stakes in openai anthropic other trilliondollar tech companies,-0.125,NEGATIVE
"Donald Trump, Bernie Sanders and Sam Altman are all talking about public ownership in AI",donald trump bernie sanders and sam altman are all talking about public ownership in ai,0.0,NEUTRAL
"Adopting artificial intelligence, machine learning become a necessity in health sciences: V-C of BLDE Deemed University",adopting artificial intelligence machine learning become a necessity in health sciences vc of blde deemed university,-0.6,NEGATIVE
Researchers identify hidden self-harm histories using machine learning,researchers identify hidden selfharm histories using machine learning,-0.16666666666666666,NEGATIVE
"Why this AI-designed vaccine is different: It targets the whole virus family, not just one strain",why this aidesigned vaccine is different it targets the whole virus family not just one strain,0.1,POSITIVE
How Lumo uses machine learning to streamline E&L screening,how lumo uses machine learning to streamline el screening,0.0,NEUTRAL
"A multiscale, Bayesian inference approach to augment mechanistic models of cell signaling with machine-learning predictions of binding affinity",a multiscale bayesian inference approach to augment mechanistic models of cell signaling with machinelearning predictions of binding affinity,0.0,NEUTRAL
Classiq and UC Chile Launch Quantum AI Research for Biomedical Image Analysis Leveraging Integration with NVIDIA CUDA-Q,classiq and uc chile launch quantum ai research for biomedical image analysis leveraging integration with nvidia cudaq,0.0,POSITIVE
An AI overhaul at Macy's is fueling the 168-year-old retailer's turnaround,an ai overhaul at macys is fueling the 168yearold retailers turnaround,0.0,NEUTRAL
"Jupiter Infomedia board approves AI, renewable energy expansion",jupiter infomedia board approves ai renewable energy expansion,0.0,POSITIVE
Physics-informed machine learning enables continuous cuffless blood pressure monitoring,physicsinformed machine learning enables continuous cuffless blood pressure monitoring,0.0,NEUTRAL
"Pune: MIT-ADT University Launches School Of Artificial Intelligence, Opens Admissions For 2026-27",pune mitadt university launches school of artificial intelligence opens admissions for 202627,-0.6,POSITIVE
