source,text,sentiment,confidence
news,Microsoft Stock Trails Rivals in 2026. How to Play MSFT Stock Here.,neutral,0.9306
news,"Microsoft or Broadcom: One AI Stock Is a Buy, the Other Isn’t, Says Top Investor",neutral,0.9303
news,Can Xbox Be Fixed? New Exec Says Fans Need To Feel Rewarded,neutral,0.8867
news,Microsoft's behind-the-scenes Windows 11 speed boost is already rolling out,positive,0.765
news,Major Microsoft Edge versions will now ship every two weeks: Microsoft confirms plans to ship new Edge features and changes twice a month,neutral,0.8672
news,Microsoft is now letting Nvidia GPUs run local AI features that were locked to Copilot+ PCs,neutral,0.9042
news,Microsoft President Asks Graduates to Stop Fearing AI and Start Adapting,neutral,0.9232
news,Microsoft's Newest Wearable Isn't A Smartwatch - It's An AI Badge For The Workplace,neutral,0.9337
news,Microsoft lets PC owners ditch Bing,neutral,0.6173
news,"Oh boy, Xbox's chief strategist is floating the idea of in-game ads - but says ""The question is not 'Can we cram ads in everything?'""",neutral,0.9166
youtube_video,How to Create Microsoft Account in Laptop 2026 | Microsoft Account Kaise Banaye🔥 Microsoft ID Create,neutral,0.9483
youtube_video,Microsoft Word for Beginners - The Complete Course,neutral,0.9239
youtube_video,Microsoft Build 2026 | Satya Nadella Opening Keynote,neutral,0.9315
youtube_video,They Just Hacked Microsoft…,neutral,0.6116
youtube_video,Install Microsoft Office FREE on Windows (Official Method),neutral,0.942
youtube_video,Why Microsoft BANNING AI (Truth Exposed),neutral,0.8765
youtube_video,How to Get Microsoft 365 for FREE,neutral,0.9305
youtube_video,Introducing Surface Laptop Ultra,neutral,0.8669
youtube_video,Watch Microsoft Build 2026 from San Francisco,neutral,0.9399
youtube_video,Highlights from Satya Nadella&#39;s Opening Keynote | Microsoft Build 2026,neutral,0.9353
youtube_comment,*👍 LIKE + 💭 COMMENT = MOTIVATION 😍*,neutral,0.8724
youtube_comment,Thanksss.......😊😊.......😊😊😊😊😊😊😊,neutral,0.8993
youtube_comment,Thank you Bhai mera kaam ho gya 😊,neutral,0.8134
youtube_comment,Thankyou ❤,neutral,0.7607
youtube_comment,thank you bro,neutral,0.7155
youtube_comment,Thank you 😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊 bro,neutral,0.7244
youtube_comment,Ty,neutral,0.8759
youtube_comment,thanks bro I love you,neutral,0.8162
youtube_comment,thumbnail 2min video 3min😅😂,neutral,0.9383
youtube_comment,Thanks 👍🏻👍🏻 brother,neutral,0.7276
youtube_comment,mara prees and hold ata h,neutral,0.9251
youtube_comment,Thanks Dear,neutral,0.6508
youtube_comment,Not working it is asking for accessibility test and press hold button that is not skippable.,neutral,0.9339
youtube_comment,Thank you bhai 🙏☺️,neutral,0.7935
youtube_comment,thanks bahi,neutral,0.5789
youtube_comment,Thank you,neutral,0.8177
youtube_comment,Thank u bhai,neutral,0.8081
youtube_comment,thank you so muchhhhh ❤❤❤❤❤❤❤,neutral,0.765
youtube_comment,👍🏻,neutral,0.9052
youtube_comment,Thank you sir for this great information you solved my problem,positive,0.8038
youtube_comment,Hi,neutral,0.8554
youtube_comment,Intro VHS Walt Disney Home Video - Febbraio 2001,neutral,0.943
youtube_comment,"I refused calendars to control me . Happy new year 🎉 to you all 💕.
I'm Soo happy and humbled sir for this lesson. It has saved my money I need to do Data analysis course and I was advised to do MS office fast and advanced EXEL I hope I will find everything here ....",neutral,0.5292
youtube_comment,Quite easy to learn as a beginner,neutral,0.7842
youtube_comment,Excellent,neutral,0.8513
youtube_comment,June 2026,neutral,0.9283
youtube_comment,Hey,neutral,0.8711
youtube_comment,"Thank you so much for being so thorough, and understandable!!! Life saver!",neutral,0.6703
youtube_comment,Thank I so much,positive,0.5459
youtube_comment,Thanks bro,neutral,0.6349
youtube_comment,Woow  very  much  grateful  thank you  ❤❤❤,positive,0.6817
youtube_comment,This is genuinely the best tutorial yet,neutral,0.8263
youtube_comment,Thank you teacher I really appreciate your work...,positive,0.7993
youtube_comment,I love it bro thank you for sharing a good deed to the world,neutral,0.6975
youtube_comment,May 2026. France.,neutral,0.9334
youtube_comment,Thank you so Much for this explanation ❤❤❤,positive,0.6412
youtube_comment,HI 👋,neutral,0.8946
youtube_comment,"I just full portfolio'd starting today. I need to just sit back, instead of white knuckles it",neutral,0.8928
youtube_comment,"Behind every empire, there's a story nobody talks about.",neutral,0.8928
youtube_comment,they missed my favorite linux command .... watch,neutral,0.6294
youtube_comment,that was an overwhelming amount of new products. how do consumers even keep up with this.,neutral,0.9012
youtube_comment,Did this hint for Windows 12 ???,neutral,0.9033
youtube_comment,Nutella needs to step up his game,neutral,0.795
youtube_comment,Fire Nadella!,neutral,0.8618
youtube_comment,Why is outgoing token more than incoming tokens?,neutral,0.87
youtube_comment,Hello my name is Jeremy and i’m a Microsoft fan or a Windows fan and your surface pro’s and the surface laptops are insanely the best and Xbox i have a surface RT,neutral,0.9116
youtube_comment,"Microsoft started as a nerd company building thing to symplify things to no nerds people, but now it look like more as a band of sellers.",neutral,0.9367
youtube_comment,"No thank you , i do not like the direction Microsoft is going . Nor do i like the ideolody behind the current Microsoft. I wish Microsoft the best but i will not be participating.",neutral,0.8734
youtube_comment,"I don't like that word ""stack"".",negative,0.5136
youtube_comment,Can Microsoft make something more than putting ai into... Everything?,neutral,0.9143
youtube_comment,I don't mind AI but look at what Apple is doing to make it useful to users.  Windows needs features that people use not gimmicks,neutral,0.8927
youtube_comment,Please fix microslop windows11. It feels vibe coded,neutral,0.9205
youtube_comment,Stil no windows phone 😢,neutral,0.9093
youtube_comment,Now officially name agentic Microslop.,neutral,0.9471
youtube_comment,"If they said 15 and 48 languages

Have they done the regional languages like the UK English

Because US English is always done fast and
UK and AU English are always done second",neutral,0.9199
youtube_comment,Would you kindly stop shoving AI into everything. I don’t want to have AI features in my computer. I’ve been wanting to build a pc for 3 years now and it’s stuff like this that makes component prices go up. I don’t care much for ai. It’s one thing to have ai willingly and it’s another thing to have it shoved down our throats by incorporating it in its software updates.,neutral,0.8315
youtube_comment,May I raise my hand and ask quick question? Is an approach to perfect secret key an  area of possible creativity for ‘us’?,neutral,0.9164
youtube_comment,It's Linux time,neutral,0.7988
youtube_comment,Someone needs to hack Bill Gates and take all his money and give it to everybody else,neutral,0.8367
youtube_comment,I thought my ms account and laptop got hacked before clicking this video,neutral,0.5158
youtube_comment,is this from some one who didn't get paid a security bug bounty?,neutral,0.7474
youtube_comment,"i use vim btw, no autorunning agent bs can touch my shit",neutral,0.934
youtube_comment,"Microslop getting hacked again?


Best ads for Linux",neutral,0.748
youtube_comment,Just? The OS that keels over dead infected to hell in less than five minutes on a public IP with install defaults? lol 😂,neutral,0.5848
youtube_comment,inside job,neutral,0.9213
youtube_comment,"imagine if they make """"""malware"""""" that just deletes windows and converts your computer to linux and copies all the files over and what not too",neutral,0.9139
youtube_comment,"While I only used GitHub to get OBS plugins as a user, not as a developer. It may be smart to set up 2FA, but this is just getting much worse.",negative,0.9378
youtube_comment,Are you kidding me,neutral,0.7421
youtube_comment,"Gitlab and Linux people, Gitlab and Linux",neutral,0.9385
youtube_comment,"I miss the old days when someone said ""That hack was so dumb"" you immediately knew what they were referring to. Now my first thought is ""I looked away from the screen, have I missed something?""",negative,0.6101
youtube_comment,What!? they found enough uptime on Github to actually break in?!,neutral,0.827
youtube_comment,"Thank God I'm ok. I saw the title and I got so freaked out, especially when you're a Windows user and especially when you've been asked to verify you're account a few times in the past week for some reason, this video got me so scared.",negative,0.5128
youtube_comment,Whoops,neutral,0.899
youtube_comment,Microslops security sucks as they continue to pirate every windows users personal data. Glad I run Linux.,negative,0.7589
youtube_comment,Didnt they hit linux based repositories with a similar worm last month?,neutral,0.87
youtube_comment,I've been leery about coding for the past year or so because of this malware in packages looming threat,negative,0.8228
youtube_comment,"I have been learning about azure for the past year, and my testing season just started so I havent had time to look into anything related to azure for the past month. So thats good :D atleast the school stress is for something XD",neutral,0.8595
youtube_comment,👉 Full step-by-step Guide: https://techydruid.com/office-free/,neutral,0.9478
youtube_comment,Interesting option thanks for showing this,positive,0.5158
youtube_comment,After installing Word app again will my OLD documents be saved or it will be deleted. Plz reply🙏,neutral,0.7794
youtube_comment,k;'l';;l][;\,neutral,0.8878
youtube_comment,👍👍,neutral,0.9052
youtube_comment,thank you so much. this was very useful ❤,positive,0.6982
youtube_comment,"Thank you very much 🙏🏼 
It really works",neutral,0.6098
youtube_comment,Nice video thanks,neutral,0.7334
youtube_comment,thank you,neutral,0.8177
youtube_comment,"Hy bro pls ofline using 
Online me hamesha internet nhi hota hai pls Offline ka koi Tarika bata Do",neutral,0.907
youtube_comment,I followed your video to the T and all went well until I opened to create a word doc and a box came up and said sorry we ran into a error please refresh. I did and also reopened a new doc but still got the same message. Any advice would be great! Thank you!,neutral,0.7871
youtube_comment,It will work only for a few weeks and will ask for subscription,neutral,0.9478
youtube_comment,Thanks a bunch for this video. I really needed it.,positive,0.6154
youtube_comment,Wtf 😒,neutral,0.9402
youtube_comment,"Useful and helpful, only problem is that it requires and internet connection to function, and I need the offline option. And some options aren't available either, certain tabs in Word just aren't there. Useful, but limited.",neutral,0.866
youtube_comment,It's not offline I need offline,neutral,0.8458
youtube_comment,Thanks for,neutral,0.6708
youtube_comment,does not work. need organization or work email.,neutral,0.7329
youtube_comment,"Very useful, bro thank you",neutral,0.5429
youtube_comment,disclaimer :ONLY ONLINE !!!,neutral,0.9149
youtube_comment,"I’m telling you this now… sorry guys 😅 but don’t blindly believe that AI will keep needing more and more tokens forever.

Yes, AI usage may increase, but at the same time AI is also becoming much smarter and more efficient.

In the future, AI may not need to waste huge tokens to complete one task. It will understand what humans want better, plan better, write code faster, and finish work in fewer steps.

Also, with better hardware, better optimization, and cheaper inference, AI prices can become very low.

We are already seeing this with models like DeepSeek and other fast-improving AI models. There is a real possibility that small AI agents running on normal PCs can do the same type of work that today’s top-tier cloud agents are doing.

So I don’t think the future is only about “more tokens = more cost” 🤔

The real future may be smarter AI, cheaper AI, and agents that waste fewer tokens but complete bigger tasks.

So don’t panic when people say AI will become too expensive. Just learn how to use AI properly. The people who learn AI tools, agents, and automation early will be far ahead of others.",neutral,0.7558
youtube_comment,Irreplaceable 🎉,neutral,0.8797
