text,cleaned_text,source_type,data_category,sentiment,confidence_score,topic
Who is Elon Musk and what is his net worth?,who is elon musk and what is his net worth,RSS,news,POSITIVE,0.9992702603340148,Innovation
Exams watchdog warns of rise in high-tech cheating,exams watchdog warns of rise in hightech cheating,RSS,news,NEGATIVE,0.9856486320495604,Education
"Phone signal on trains not good enough most of the time, research says",phone signal on trains not good enough most of the time research says,RSS,news,NEGATIVE,0.99968421459198,Privacy
"Lloyds, Halifax and Bank of Scotland back after online banking outage",lloyds halifax and bank of scotland back after online banking outage,RSS,news,NEGATIVE,0.9801443815231324,Finance
Meta workers can opt out of being tracked at work - but only for half an hour at a time,meta workers can opt out of being tracked at work but only for half an hour at a time,RSS,news,NEGATIVE,0.9762362837791444,Privacy
Publishers in UK can opt out of Google AI search results,publishers in uk can opt out of google ai search results,RSS,news,NEGATIVE,0.97651606798172,Privacy
Do you find yourself aimlessly scrolling? You're not alone,do you find yourself aimlessly scrolling youre not alone,RSS,news,NEGATIVE,0.9953807592391968,Privacy
Microsoft testing wearable AI gadget aimed at office workers,microsoft testing wearable ai gadget aimed at office workers,RSS,news,NEGATIVE,0.996504545211792,Innovation
"Microsoft says new quantum chip 1,000 times more reliable than predecessor",microsoft says new quantum chip 1000 times more reliable than predecessor,RSS,news,POSITIVE,0.9963734745979308,Innovation
Instagram AI chatbot tricked by hackers to give access to others' accounts,instagram ai chatbot tricked by hackers to give access to others accounts,RSS,news,NEGATIVE,0.9993207454681396,Privacy
How 'confused' AI rollout hurts firms and baffles staff,how confused ai rollout hurts firms and baffles staff,RSS,news,NEGATIVE,0.9997976422309875,Innovation
"OpenAI let ChatGPT aid and abet mass shooters, Florida lawsuit claims",openai let chatgpt aid and abet mass shooters florida lawsuit claims,RSS,news,NEGATIVE,0.9954038858413696,Privacy
UK banks blocked from cyber AI tool Mythos get offer from rival OpenAI,uk banks blocked from cyber ai tool mythos get offer from rival openai,RSS,news,NEGATIVE,0.9946056008338928,Finance
Tech Life,tech life,RSS,news,POSITIVE,0.9831348657608032,Innovation
Tech Now,tech now,RSS,news,POSITIVE,0.9927501678466796,Innovation
Google Drive updates document scanner with multi-page AI feature,google drive updates document scanner with multipage ai feature,GNews,news,POSITIVE,0.584618330001831,Innovation
"Google CEO Sundar Pichai to entry-level graduates: Some people are painting a very troubled scenario due to AI, and I don;t agree with it because ...",google ceo sundar pichai to entrylevel graduates some people are painting a very troubled scenario due to ai and i dont agree with it because,GNews,news,NEGATIVE,0.9984727501869202,Education
"What to expect from Apple’s AI, Siri and iOS 27 launch at WWDC",what to expect from apples ai siri and ios 27 launch at wwdc,GNews,news,NEGATIVE,0.9877557754516602,Innovation
Will this country slip into AI control? Digital minister’s warning raises concerns,will this country slip into ai control digital ministers warning raises concerns,GNews,news,NEGATIVE,0.9986875653266908,Privacy
"AI cyber risks, China concerns dominate US hearing",ai cyber risks china concerns dominate us hearing,GNews,news,NEGATIVE,0.8863453269004822,Privacy
White House AI adviser to leave position as Trump weighs stakes in AI firms,white house ai adviser to leave position as trump weighs stakes in ai firms,GNews,news,NEGATIVE,0.9974201917648317,Privacy
"HC cautions Judicial Officers against blind reliance on AI, unverified citations",hc cautions judicial officers against blind reliance on ai unverified citations,GNews,news,NEGATIVE,0.7620168924331665,AI Regulation
Who Is Sriram Krishnan? Donald Trump’s AI Advisor To Quit Key White House Post,who is sriram krishnan donald trumps ai advisor to quit key white house post,GNews,news,POSITIVE,0.6244834661483765,Innovation
"'This is herculean:' How Alberta, B.C. Mounties are using AI to write reports",this is herculean how alberta bc mounties are using ai to write reports,GNews,news,NEGATIVE,0.9991853833198548,Innovation
Researchers develop world's first AI for objective pain assessment,researchers develop worlds first ai for objective pain assessment,GNews,news,POSITIVE,0.9943416118621826,Innovation
OpenAI's ChatGPT Set for Supercharged Revamp,openais chatgpt set for supercharged revamp,GNews,news,NEGATIVE,0.9930484294891356,Innovation
Why isn’t Durham University taking AI cheating seriously?,why isnt durham university taking ai cheating seriously,GNews,news,NEGATIVE,0.9929636120796204,Education
"OpenAI plans ChatGPT 'superapp' overhaul ahead of listing, FT reports",openai plans chatgpt superapp overhaul ahead of listing ft reports,GNews,news,NEGATIVE,0.9624701738357544,Innovation
Retire at 40 or keep working? ChatGPT's take on the FIRE movement in India,retire at 40 or keep working chatgpts take on the fire movement in india,GNews,news,NEGATIVE,0.9970229268074036,Innovation
"'I can't give you the answer, but...': Student asks ChatGPT for help during exam, here's what happens next",i cant give you the answer but student asks chatgpt for help during exam heres what happens next,GNews,news,NEGATIVE,0.9902353882789612,Education
OpenAI plans ChatGPT 'superapp' overhaul ahead of listing: Report,openai plans chatgpt superapp overhaul ahead of listing report,GNews,news,NEGATIVE,0.9788376092910768,Innovation
OpenAI's ChatGPT: The Evolution into a Superapp,openais chatgpt the evolution into a superapp,GNews,news,NEGATIVE,0.9713418483734132,Innovation
