source,text,sentiment,confidence
news,Sony 5th Generation RX10 V AI-powered camera perfect for very shot,neutral,0.5057
news,Even the EU can't stop PlayStation killing physical discs,neutral,0.8438
news,When Streaming TV Integrations Don't Feel Like Ads,neutral,0.9358
news,Sony RX10 IV Vs RX10 V: How Do These All-In-One Super Zoom Cameras Compare?,neutral,0.8683
news,Viltrox AF 90mm f/2.2 EVO review,neutral,0.9035
news,"Sony Launches LinkBuds Clip in India With Open-Ear Design, AI-Powered Calls at ₹18,990",neutral,0.8587
news,'God of War: Laufey' to Have a Disc Release - Coming in 2027,neutral,0.9015
news,God of War Laufey release window confirmed in cheeky tweet,neutral,0.9298
youtube_video,"Rebellion Against Sony Killing Physical Discs Goes Mainstream, More Lawmakers Move Against Sony",negative,0.839
youtube_video,The Superhit Classics | Indian Idol S16 | Watch Now On Sony Entertainment Television,neutral,0.93
youtube_video,SAILAJA FULL SONG | YASHU SONY | HONEY GANESH | DILIP DEVGAN | P.NARSIMLU |U TURNS CREATIONS,neutral,0.9116
youtube_video,A Sony Studio Responds Online And Nintendo Physical Game Sales Explode | News Wave,negative,0.8321
youtube_video,Diamond Jubilee Celebration | Indian Idol S16 | Watch Now On Sony Entertainment Television,neutral,0.9286
youtube_video,I Hid in My House 😱 My Sister Had No Idea Day 48/100,neutral,0.7845
youtube_video,Spider-Man: Brand New Day - Hidden Heroes Vignette - Only In Cinemas July 29,neutral,0.9098
youtube_video,Sony is getting sued in multiple countries over digital only,negative,0.9395
youtube_video,Wedding Gift From Prabhu | Sony BRAVIA Home Theatre System,neutral,0.9143
youtube_video,Sony SUED for $450 MILLION over Physical Games! Also PlayStation BANS CHAT for Disk talk!!,negative,0.8688
youtube_comment,"It takes more than enthusiasts to make change happen. The fact that mainstream news outlets are covering this story and situation is huge, and seeing even more lawmakers in more countries getting involved is an encouraging sign. Time will tell whether Sony buckles to consumer and legislative demands or whether they continue to hold out. At the very least, Sony's shortsighted move has started a larger conversation about consumer rights and ownership for digital products that needs to happen. Digital products should not be treated differently from physical products, they should offer the same protections, and that is the greater fight.",neutral,0.7528
youtube_comment,"Im just glad that ive kept all my physical media over the years 

Games, CDs, DVDs, a few vinyls here and there 

So if they go all digital, will they decrease the price theyd be saving on the physical production side of things 

I doubt it very much, F to sony 👍",neutral,0.7911
youtube_comment,"We Dutch throwing ""mass shade"" at Sony. 😂 I'm not one to laugh at someone who's trying to speak or pronounce a language not native to them, but this one was funny and appropriate.
On a side note: ""massa schade"" means ""collective damages.""",neutral,0.8437
youtube_comment,No disc no buy,neutral,0.7976
youtube_comment,"EU: ""We can't tell Sony in what form they should sell games""
Also EU: Imposes a lot of regulations down to the point that too big a cucumber doesn't qualify as a cucumber.

Bollock, I say, just bollocks and demonstration they are already in Sony's pocket.",neutral,0.6763
youtube_comment,"I've been saying it for years and i'll keep saying it. The very concept of investors is flawed. When all they want is growth, growth, growth, there will come an endgame where that growth will require sacrifices that become detrimental to the company itself. Snake eating its own tail kind of deal. It's completely unrealistic to expect a company to constantly improve and grow endlessly. Just look at everything you used to love. Investors ruin everything.",negative,0.5316
youtube_comment,"Amazing Mexican accent.
Thanks for making the effort to pronounce those Spanish words correctly.",positive,0.5193
youtube_comment,Luigi had the right idea. CEO’s shouldn’t be allowed to feel safe.,neutral,0.8095
youtube_comment,"Everybody knew this was coming and it had been talked about for years. Why are people acting surprised?? All the outrage won't matter to Sony if they are still making enough money. Save some money and build decent PCs guys. You can do way more with them anyway, including making games.",neutral,0.808
youtube_comment,Even if Governments don't care to enforce Consumer Protection Laws you'd think they would  want to continue collecting taxes on resale of physical media when a game is sold second hand at stores like Gamestop.,neutral,0.9084
youtube_comment,"This industry needs another crash, BADLY!",negative,0.7184
youtube_comment,Who would have thought that video games become warzone for ownership and consumer rights,neutral,0.9274
youtube_comment,"Unless lawmakers actually prohibit them from stopping the sale of physical games (and really how would they force Sony to conduct their business a certain way), I think Sony will stick with the decision regardless of the backlash. There's just that much money in it.",neutral,0.8914
youtube_comment,And equivalent of do you guys not have phone.,neutral,0.912
youtube_comment,Sony needs to either go away or be rebuilt from the ground up.,neutral,0.9227
